id,rights_holder,work,scope,rights_type,territories,media,starts,expires,reference,notes
LIC-100,Bayer AG,Bayer word mark and cross logo,Archival footage depiction,ALL,WORLDWIDE,ALL,2025-01-01,,BAY-ARCH-2025-01,Perpetual archival depiction licence — the shape a producer wants and rarely gets.
LIC-101,Kraft Heinz Company,Jell-O trade dress,Product depiction,ALL,US|CA,THEATRICAL,2026-01-01,2027-12-31,KHC-JELLO-2026-14,TERRITORY + MEDIA GAP — North America theatrical only; streaming NOT granted.
LIC-102,Unilever,Lipton marks,Product depiction,ALL,WORLDWIDE,THEATRICAL|STREAMING,2025-06-01,2030-06-01,UNI-LIPTON-2025-88,
LIC-103,Chevron Corporation,Texaco marks and star logo,Archival advertising footage,ALL,US,ALL,2024-01-01,2025-06-30,CVX-TEXACO-2024-02,TERM GAP — expired; renew before delivery.
LIC-104,Volkswagen AG,VW roundel and Beetle trade dress,Vehicle depiction,ALL,WORLDWIDE,ALL,2025-04-01,,VW-DEPICT-2025-31,
LIC-105,Universal Music Publishing Group,Main title song,Synchronisation — composition,SYNC,WORLDWIDE,ALL,2026-01-01,2036-01-01,UMPG-SYNC-2026-77,COMPOSITION HALF ONLY — pairs with LIC-106. A sync licence alone does not clear the recording.
LIC-106,Universal Music Group,Main title song,Master use — recording,MASTER,WORLDWIDE,ALL,2026-01-01,2036-01-01,UMG-MASTER-2026-77,RECORDING HALF — together with LIC-105 the track is fully cleared.
LIC-107,Warner Chappell Music,Diner jukebox cue,Synchronisation — composition,SYNC,US,THEATRICAL,2026-02-01,2029-02-01,WC-SYNC-2026-12,SPLIT GAP — composition held; no master-use licence on file for this cue.
LIC-108,Kobalt Music Group,Montage needle-drop,Festival exhibition only,BOTH,WORLDWIDE,FESTIVAL,2026-03-01,2027-03-01,KOB-FEST-2026-05,FESTIVAL TRAP — does not survive a distribution sale; re-clear before delivery.
LIC-109,BMG Rights Management,Closing credits song,Broadcast television only,BOTH,US,BROADCAST,2025-01-01,,BMG-BCAST-2025-19,THE WKRP PROBLEM — broadcast only; home video and streaming NOT granted.
LIC-110,Getty Images,Archival stills montage,Editorial stills licence,PRINT,WORLDWIDE,ALL,2025-04-01,2026-03-31,GETTY-ED-2025-441,TERM GAP — expired during post; Getty runs automated image-match enforcement.
LIC-111,Artists Rights Society,Gallery wall canvases,Reproduction of member artworks,PRINT,WORLDWIDE,ALL,2026-01-01,2028-09-30,ARS-REPRO-2026-63,Covers the artworks; does NOT cover a photographer's separate copyright in a still.
LIC-112,Associated Press,News insert footage,Archival news footage,ALL,US,BROADCAST|STREAMING,2026-01-01,2029-01-15,AP-ARCH-2026-08,TERRITORY GAP — US only; any international sale needs an extension.
LIC-113,Alphabet Inc.,Device screens and interface shots,Corporate brand usage,ALL,WORLDWIDE,ALL,2026-01-01,,ALPHA-BRAND-2026-02,WRONG ENTITY — marks are held by Google LLC; confirm the grant binds the operating company.
